Date,Day,Bedtime (2400 Format),Wakeup Time (2400 Format),Total Time Slept (H),Heart Rate (BPM),REM Sleep (H)
9/13/2021,Monday,2300,650,7.83,73,2.09
9/14/2021,Tuesday,2335,900,7.33,71,1.96
9/15/2021,Wednesday,30,650,8.5,65,2.27
9/16/2021,Thursday,15,945,6.583,75,1.76
9/17/2021,Friday,130,830,8.25,76,2.21
9/18/2021,Saturday,100,655,7.5,73,2.01
9/19/2021,Sunday,2325,730,7.5,72,2.01
9/20/2021,Monday,15,730,7.75,77,2.07
9/21/2021,Tuesday,5,730,7.583,79,2.03
9/22/2021,Wednesday,2330,800,8.5,75,2.27
9/23/2021,Thursday,2245,715,8.5,74,2.27
9/24/2021,Friday,130,730,6,75,1.6
9/25/2021,Saturday,130,820,6.83,75,1.83
9/26/2021,Sunday,30,730,7,75,1.87
9/27/2021,Monday,120,715,5.83,77,1.56
9/28/2021,Tuesday,130,715,5.75,78,1.54
9/29/2021,Wednesday,115,730,6.25,72,1.67
9/30/2021,Thursday,250,555,3.083,73,0.82
10/1/2021,Friday,30,900,8.5,76,2.27
10/2/2021,Saturday,15,800,7.75,73,2.07
10/3/2021,Sunday,35,720,6.917,73,1.85
10/4/2021,Monday,30,730,7,73,1.87
10/5/2021,Tuesday,15,730,7.25,76,1.94
10/6/2021,Wednesday,45,720,6.583,74,1.76
10/7/2021,Thursday,50,725,6.583,75,1.76
10/8/2021,Friday,30,845,8.25,75,2.21
10/9/2021,Saturday,15,730,7.25,71,1.94
10/10/2021,Sunday,30,730,7,78,1.87
10/11/2021,Monday,30,645,7.417,73,1.98
10/12/2021,Tuesday,0,725,7.417,74,1.98
10/13/2021,Wednesday,2330,730,8,74,2.14
10/14/2021,Thursday,0,650,6.83,77,1.83
10/15/2021,Friday,230,800,5.5,74,1.47
10/16/2021,Saturday,255,800,5.083,73,1.36
10/17/2021,Sunday,30,700,6.5,76,1.74
10/18/2021,Monday,30,800,7.5,79,2.01
10/19/2021,Tuesday,400,730,3.5,76,0.94
10/20/2021,Wednesday,300,830,5.5,73,1.47
10/21/2021,Thursday,45,805,7.33,73,1.96
10/22/2021,Friday,130,830,7,74,1.87
10/23/2021,Saturday,145,530,3.75,73,1
10/24/2021,Sunday,300,810,5.167,73,1.38
10/25/2021,Monday,15,725,7.167,71,1.92
10/26/2021,Tuesday,30,730,7,69,1.87
10/27/2021,Wednesday,100,630,5.5,70,1.47
10/28/2021,Thursday,400,730,3.5,70,0.94
10/29/2021,Friday,130,900,7.5,71,2.01
10/30/2021,Saturday,120,810,6.83,73,1.83
10/31/2021,Sunday,45,715,6.5,74,1.74
11/1/2021,Monday,100,645,5.75,75,1.54
11/2/2021,Tuesday,30,830,8,73,2.14
11/3/2021,Wednesday,2330,720,7.83,73,2.09
11/4/2021,Thursday,15,700,6.75,73,1.81
11/5/2021,Friday,30,745,7.25,76,1.94
11/6/2021,Saturday,45,745,7,73,1.87
11/7/2021,Sunday,40,720,6.67,73,1.78
11/8/2021,Monday,100,920,8.33,73,2.23
11/9/2021,Tuesday,2345,830,8.75,76,2.34
11/10/2021,Wednesday,25,730,7.083,74,1.89
11/11/2021,Thursday,45,700,6.25,75,1.67
11/12/2021,Friday,10,715,7.083,75,1.89
11/13/2021,Saturday,25,730,7.083,71,1.89
11/14/2021,Sunday,230,800,5.5,78,1.47
11/15/2021,Monday,135,900,7.417,73,1.98
11/16/2021,Tuesday,55,730,6.583,74,1.76
11/17/2021,Wednesday,130,730,6,74,1.6
11/18/2021,Thursday,20,645,6.417,77,1.72
11/19/2021,Friday,10,730,7.33,74,1.96
11/20/2021,Saturday,20,655,6.583,73,1.76
11/21/2021,Sunday,130,720,5.833,76,1.56
11/22/2021,Monday,100,845,7.75,79,2.07
